artist_name,image_url
Harajuku Nation,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Harajuku%20Nation.jpg?raw=true
Lars Sorensen,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Lars%20Sorensen.jpg?raw=true
Typhillosion,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Typhillosion.jpg?raw=true
Anime Kei,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Anime%20Kei.jpg?raw=true
Christophe Deremy,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Christophe%20Deremy.jpg?raw=true
Duc de Japan,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Duc%20de%20Japan.jpg?raw=true
KANA-BOON,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/KANA-BOON.jpg?raw=true
Ikimonogakari,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Ikimonogakari.jpg?raw=true
Kyo Kimura,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Kyo%20Kimura.jpg?raw=true
Moisés Nieto,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Mois%C3%A9s%20Nieto.jpg?raw=true
Anime Project,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Anime%20Project.jpg?raw=true
FLOW,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/FLOW.jpg?raw=true
Motohiro Hata,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Motohiro%20Hata.jpg?raw=true
Mami,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Mami.jpg?raw=true
ANISON PROJECT,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/ANISON%20PROJECT.jpg?raw=true
Bird Of Pray,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Bird%20Of%20Pray.jpg?raw=true
Geek Music,https://github.com/Leander-Antony/my-spotify/blob/main/artist_images/Geek%20Music.jpg?raw=true
